Symbol,Index,Industry,Sector,Country or region of registration,Description
CHWY,"S&P MidCap 400, Russell 3000, Russell 1000",Internet retail,Retail trade,United States,"Chewy, Inc."
CI,"S&P 500, S&P 500 Health Care, Russell 3000, Russell 1000, S&P 500 ESG",Managed health care,Health services,United States,The Cigna Group
CIA,"Russell 2000, Mini-Russell 2000",Life/Health insurance,Finance,United States,"Citizens, Inc."
CIEN,"S&P MidCap 400, Nasdaq US Mid Cap Growth, Russell 3000, Russell 1000",Telecommunications equipment,Electronic technology,United States,Ciena Corporation
CIF,,Investment trusts/Mutual funds,Miscellaneous,United States,MFS Intermediate High Income Fund
CII,,Investment trusts/Mutual funds,Miscellaneous,United States,"BlackRock Enhanced Large Cap Core Fund, Inc."
CIM,"Russell 2000, Russell 3000, Mini-Russell 2000",Real estate investment trusts,Finance,United States,Chimera Investment Corporation
CINT,,Information technology services,Technology services,Brazil,CI&T Inc
CIO,"Russell 2000, Russell 3000, Mini-Russell 2000",Real estate investment trusts,Finance,Canada,"City Office REIT, Inc."
CION,,Investment trusts/Mutual funds,Miscellaneous,United States,CION Investment Corporation
CIVI,"S&P MidCap 400, Russell 3000, Russell 1000",Integrated oil,Energy minerals,United States,"Civitas Resources, Inc."
CL,"S&P 500, S&P 500 Consumer Staples, S&P 100, Russell 3000, Russell 1000, S&P 500 ESG",Household/Personal care,Consumer non-durables,United States,Colgate-Palmolive Company
CLB,"Russell 2000, Russell 3000, Mini-Russell 2000, PHLX Oil Service Sector",Oil & gas production,Energy minerals,United States,Core Laboratories Inc.
CLDT,"Russell 2000, Russell 3000, Mini-Russell 2000",Real estate investment trusts,Finance,United States,Chatham Lodging Trust
CLF,"S&P MidCap 400, Russell 3000, Russell 1000",Steel,Non-energy minerals,United States,Cleveland-Cliffs Inc.
CLH,"S&P MidCap 400, Russell 3000, Russell 1000",Environmental services,Industrial services,United States,"Clean Harbors, Inc."
CLPR,"Russell 2000, Mini-Russell 2000",Real estate investment trusts,Finance,United States,"Clipper Realty, Inc."
CLVT,"Russell 3000, Russell 1000",Miscellaneous commercial services,Commercial services,United Kingdom,Clarivate Plc
CLW,"Russell 2000, Russell 3000, Mini-Russell 2000",Pulp & paper,Process industries,United States,Clearwater Paper Corporation
CLX,"S&P 500, S&P 500 Consumer Staples, Nasdaq US Mid Cap Growth, Russell 3000, Russell 1000, S&P 500 ESG",Household/Personal care,Consumer non-durables,United States,Clorox Company (The)
CMA,"S&P MidCap 400, KBW NASDAQ Bank, Russell 3000, Russell 1000",Major banks,Finance,United States,Comerica Incorporated
CMC,"Russell 2000, S&P MidCap 400, Russell 3000, Mini-Russell 2000",Steel,Non-energy minerals,United States,Commercial Metals Company
CMCM,,Packaged software,Technology services,China,"Cheetah Mobile, Inc. ADR Class A"
CMDB,"Russell 2000, Russell 3000, Mini-Russell 2000",Marine shipping,Transportation,Monaco,Costamare Bulkers Holdings Limited
CMG,"S&P 500, S&P 500 Consumer Discretionary, Nasdaq US Large Cap Growth, Russell 3000, Russell 1000",Restaurants,Consumer services,United States,"Chipotle Mexican Grill, Inc."
CMI,"S&P 500, S&P 500 Industrials, Russell 3000, Russell 1000, S&P 500 ESG",Auto parts: OEM,Producer manufacturing,United States,Cummins Inc.
CMP,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Chemicals: specialty,Process industries,United States,Compass Minerals Intl Inc
CMPO,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Commercial printing/Forms,Commercial services,United States,"CompoSecure, Inc."
CMRE,"Russell 2000, Russell 3000, Mini-Russell 2000",Marine shipping,Transportation,Monaco,Costamare Inc.
CMS,"S&P 500, S&P 500 Utilities, Russell 3000, Russell 1000",Electric utilities,Utilities,United States,CMS Energy Corporation
CMS/PB,,Alternative power generation,Utilities,United States,CMS Energy Corporation Preferred Stock
CMTG,"Russell 2000, Russell 3000, Mini-Russell 2000",Real estate investment trusts,Finance,United States,"Claros Mortgage Trust, Inc."
CMU,,Investment trusts/Mutual funds,Miscellaneous,United States,MFS High Yield Municipal Trust
CNA,"Russell 3000, Russell 1000",Multi-line insurance,Finance,United States,CNA Financial Corporation
CNC,"S&P 500, S&P 500 Health Care, Russell 3000, Russell 1000, S&P 500 ESG",Managed health care,Health services,United States,Centene Corporation
CNF,,Finance/Rental/Leasing,Finance,China,CNFinance Holdings Ltd Sponsored ADR
CNH,"S&P MidCap 400, Russell 3000, Russell 1000",Trucks/Construction/Farm machinery,Producer manufacturing,United Kingdom,CNH Industrial N.V.
CNK,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Movies/Entertainment,Consumer services,United States,"Cinemark Holdings, Inc."
CNM,"S&P MidCap 400, Nasdaq US Mid Cap Growth, Russell 3000, Russell 1000",Wholesale distributors,Distribution services,United States,"Core & Main, Inc."
CNMD,"Russell 2000, Russell 3000, Mini-Russell 2000",Medical specialties,Health technology,United States,CONMED Corporation
CNNE,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Restaurants,Consumer services,United States,"Cannae Holdings, Inc."
CNO,"Russell 2000, S&P MidCap 400, Russell 3000, Mini-Russell 2000",Multi-line insurance,Finance,United States,"CNO Financial Group, Inc."
CNP,"S&P 500, S&P 500 Utilities, Russell 3000, Russell 1000, S&P 500 ESG, PHLX Utilities Sector",Electric utilities,Utilities,United States,"CenterPoint Energy, Inc (Holding Co)"
CNR,"Russell 2000, Russell 3000, Mini-Russell 2000",Coal,Energy minerals,United States,"Core Natural Resources, Inc."
CNS,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Investment managers,Finance,United States,Cohen & Steers Inc
CNX,"Russell 2000, S&P MidCap 400, Russell 3000, Mini-Russell 2000",Oil & gas production,Energy minerals,United States,CNX Resources Corporation
CODI,"Russell 2000, Russell 3000, Mini-Russell 2000",Investment managers,Finance,United States,D/B/A Compass Diversified Holdings Shares of Beneficial Interest
COF,"S&P 500, S&P 100, KBW NASDAQ Bank, Russell 3000, S&P 500 Financials, Russell 1000, S&P 500 ESG",Major banks,Finance,United States,Capital One Financial Corporation
COHR,"PHLX Semiconductor Sector, S&P MidCap 400, Nasdaq US Mid Cap Growth, Russell 3000, Russell 1000",Semiconductors,Electronic technology,United States,Coherent Corp.
COLD,"Russell 3000, Russell 1000",Real estate investment trusts,Finance,United States,"Americold Realty Trust, Inc."
COMP,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Packaged software,Technology services,United States,"Compass, Inc."
CON,"Russell 2000, Russell 3000, Mini-Russell 2000",Medical/Nursing services,Health services,United States,"Concentra Group Holdings Parent, Inc."
COOK,"Russell 2000, Mini-Russell 2000",Electronics/Appliances,Consumer durables,United States,"Traeger, Inc."
COP,"S&P 500, S&P 500 Energy, S&P 100, Russell 3000, Russell 1000, S&P 500 ESG",Oil & gas production,Energy minerals,United States,ConocoPhillips
COPL,,Financial conglomerates,Finance,Hong Kong,Copley Acquisition Corp
COR,"S&P 500, S&P 500 Health Care, Russell 3000, Russell 1000, S&P 500 ESG",Medical distributors,Distribution services,United States,"Cencora, Inc."
COSO,"Russell 2000, Mini-Russell 2000",Regional banks,Finance,United States,"CoastalSouth Bancshares, Inc."
COTY,"S&P MidCap 400, Russell 3000, Russell 1000",Household/Personal care,Consumer non-durables,United States,Coty Inc.
COUR,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Internet software/Services,Technology services,United States,"Coursera, Inc."
CPA,,Airlines,Transportation,Panama,"Copa Holdings, S.A."
CPAY,"S&P 500, Nasdaq US Mid Cap Growth, Russell 3000, S&P 500 Financials, Russell 1000, KBW NASDAQ Financial Technology Index",Miscellaneous commercial services,Commercial services,United States,"Corpay, Inc."
CPF,"Russell 2000, Russell 3000, Mini-Russell 2000",Regional banks,Finance,United States,Central Pacific Financial Corp New
CPK,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Gas distributors,Utilities,United States,Chesapeake Utilities Corporation
CPNG,"Nasdaq US Large Cap Growth, Russell 3000, Russell 1000",Internet retail,Retail trade,United States,"Coupang, Inc."
CPRI,"Russell 2000, S&P MidCap 400, Russell 3000, Mini-Russell 2000",Apparel/Footwear retail,Retail trade,United Kingdom,Capri Holdings Limited
CPS,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Auto parts: OEM,Producer manufacturing,United States,Cooper-Standard Holdings Inc.
CPT,"S&P 500, S&P 500 Real Estate, Russell 3000, Russell 1000",Real estate investment trusts,Finance,United States,Camden Property Trust
CQP,,Gas distributors,Utilities,United States,"Cheniere Energy Partners, LP"
CR,"S&P MidCap 400, Nasdaq US Mid Cap Growth, Russell 3000, Russell 1000",Aerospace & defense,Electronic technology,United States,Crane Company
CRBG,,Life/Health insurance,Finance,United States,Corebridge Financial Inc.
CRC,"Russell 2000, Russell 3000, Mini-Russell 2000",Integrated oil,Energy minerals,United States,California Resources Corporation
CRCL,"Nasdaq US Large Cap Growth, Russell 3000, Russell 1000",Packaged software,Technology services,United States,"Circle Internet Group, Inc."
CRD.A,"Russell 2000, Mini-Russell 2000",Insurance brokers/Services,Finance,United States,Crawford & Company
CRGY,"Russell 2000, Russell 3000, Mini-Russell 2000",Integrated oil,Energy minerals,United States,Crescent Energy Company
CRH,"Russell 3000, Russell 1000",Construction materials,Non-energy minerals,United States,CRH PLC
CRI,"Russell 2000, Russell 3000, Mini-Russell 2000",Apparel/Footwear retail,Retail trade,United States,"Carter's, Inc."
CRK,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Oil & gas production,Energy minerals,United States,"Comstock Resources, Inc."
CRL,"S&P 500, S&P 500 Health Care, Russell 3000, Russell 1000, S&P 500 ESG",Miscellaneous commercial services,Commercial services,United States,"Charles River Laboratories International, Inc."
CRM,"S&P 500, Dow Jones Industrial Average, S&P 500 Information Technology, S&P 100, ISE CTA Cloud Computing, Nasdaq US Large Cap Growth, Russell 3000, Dow Jones Composite Average, Russell 1000, S&P 500 ESG",Packaged software,Technology services,United States,"Salesforce, Inc."
CRS,"S&P MidCap 400, Nasdaq US Mid Cap Growth, Russell 3000, Russell 1000",Other metals/Minerals,Non-energy minerals,United States,Carpenter Technology Corporation
CRT,,Investment trusts/Mutual funds,Miscellaneous,United States,Cross Timbers Royalty Trust
CSL,"S&P MidCap 400, Russell 3000, Russell 1000",Building products,Producer manufacturing,United States,Carlisle Companies Incorporated
CSR,"Russell 2000, Russell 3000, Mini-Russell 2000",Real estate investment trusts,Finance,United States,Centerspace
CSTM,"Russell 2000, Russell 3000, Mini-Russell 2000",Aluminum,Non-energy minerals,France,Constellium SE
CSV,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Other consumer services,Consumer services,United States,"Carriage Services, Inc."
CSW,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Industrial specialties,Process industries,United States,"CSW Industrials, Inc."
CTA/PA,,Chemicals: agricultural,Process industries,United States,"EIDP, Inc. Preferred Stock $3.50 Series"
CTEV,"Russell 2000, Nasdaq US Small Cap Growth, Mini-Russell 2000",Data processing services,Technology services,United States,Claritev Corporation
CTO,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Real estate investment trusts,Finance,United States,CTO Realty Growth Inc
CTOS,"Russell 2000, Russell 3000, Mini-Russell 2000",Finance/Rental/Leasing,Finance,United States,"Custom Truck One Source, Inc."
CTRA,"S&P 500, S&P 500 Energy, Russell 3000, Russell 1000",Integrated oil,Energy minerals,United States,Coterra Energy Inc.
CTRE,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Real estate investment trusts,Finance,United States,"CareTrust REIT, Inc."
CTRI,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Gas distributors,Utilities,United States,"Centuri Holdings, Inc."
CTS,"Russell 2000, Russell 3000, Mini-Russell 2000",Electronic production equipment,Electronic technology,United States,CTS Corporation
CTVA,"S&P 500, S&P 500 Materials, Russell 3000, Russell 1000, NASDAQ US Benchmark Food Producers",Agricultural commodities/Milling,Process industries,United States,"Corteva, Inc."
CUBE,"S&P MidCap 400, Nasdaq US Mid Cap Growth, Russell 3000, Russell 1000",Real estate investment trusts,Finance,United States,CubeSmart
CUBI,"Russell 2000, Russell 3000, Mini-Russell 2000",Regional banks,Finance,United States,"Customers Bancorp, Inc"
CULP,,Textiles,Process industries,United States,"Culp, Inc."
CURB,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Real estate investment trusts,Finance,United States,Curbline Properties Corp.
CURV,"Russell 2000, Mini-Russell 2000",Apparel/Footwear retail,Retail trade,United States,Torrid Holdings Inc.
CUZ,"S&P MidCap 400, Russell 3000, Russell 1000",Real estate investment trusts,Finance,United States,Cousins Properties Incorporated
CVEO,,Hotels/Resorts/Cruise lines,Consumer services,United States,Civeo Corporation (Canada)
CVI,"Russell 2000, Russell 3000, Mini-Russell 2000",Oil refining/Marketing,Energy minerals,United States,CVR Energy Inc.
CVLG,"Russell 2000, Russell 3000, Mini-Russell 2000",Trucking,Transportation,United States,"Covenant Logistics Group, Inc."
CVNA,"Nasdaq US Large Cap Growth, Russell 3000, Russell 1000",Specialty stores,Retail trade,United States,Carvana Co.
CVS,"S&P 500, S&P 500 Health Care, S&P 100, Russell 3000, Russell 1000, S&P 500 ESG",Drugstore chains,Retail trade,United States,CVS Health Corporation
CVX,"S&P 500, Dow Jones Industrial Average, S&P 500 Energy, S&P 100, Russell 3000, Dow Jones Composite Average, Russell 1000, NYSE Arca Major Market",Integrated oil,Energy minerals,United States,Chevron Corporation
CW,"S&P MidCap 400, Nasdaq US Mid Cap Growth, Russell 3000, Russell 1000",Aerospace & defense,Electronic technology,United States,Curtiss-Wright Corporation
CWAN,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Packaged software,Technology services,United States,"Clearwater Analytics Holdings, Inc."
CWEN,"Russell 3000, Russell 1000, NASDAQ Clean Edge Green Energy",Alternative power generation,Utilities,United States,"Clearway Energy, Inc."
CWH,"Russell 2000, Russell 3000, Mini-Russell 2000",Specialty stores,Retail trade,United States,"Camping World Holdings, Inc."
CWK,"Russell 2000, Russell 3000, Mini-Russell 2000",Real estate development,Finance,United Kingdom,Cushman & Wakefield plc
CWT,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Water utilities,Utilities,United States,California Water Service Group
CXE,,Investment trusts/Mutual funds,Miscellaneous,United States,MFS High Income Municipal Trust Shares
CXH,,Investment trusts/Mutual funds,Miscellaneous,United States,MFS Investment Grade Municipal Trust
CXM,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Packaged software,Technology services,United States,"Sprinklr, Inc."
CXT,"S&P MidCap 400, Russell 3000, Russell 1000",Industrial machinery,Producer manufacturing,United States,"Crane NXT, Co."
CXW,"Russell 2000, Russell 3000, Mini-Russell 2000",Miscellaneous commercial services,Commercial services,United States,"CoreCivic, Inc."
CYD,,Auto parts: OEM,Producer manufacturing,Singapore,China Yuchai International Limited
CYH,"Russell 2000, Russell 3000, Mini-Russell 2000",Hospital/Nursing management,Health services,United States,"Community Health Systems, Inc."
D,"S&P 500, S&P 500 Utilities, Russell 3000, Dow Jones Utility Average, Dow Jones Composite Average, Russell 1000, PHLX Utilities Sector",Electric utilities,Utilities,United States,"Dominion Energy, Inc."
DAC,,Marine shipping,Transportation,Greece,Danaos Corporation
DAL,"S&P 500, Dow Jones Transportation Average, S&P 500 Industrials, Russell 3000, Dow Jones Composite Average, Russell 1000, S&P 500 ESG",Airlines,Transportation,United States,"Delta Air Lines, Inc."
DAN,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Auto parts: OEM,Producer manufacturing,United States,Dana Incorporated
DAO,NASDAQ Golden Dragon China,Internet software/Services,Technology services,China,"Youdao, Inc. Sponsored ADR Class A"
DAR,"S&P MidCap 400, Russell 3000, Russell 1000, NASDAQ US Benchmark Food Producers",Food: specialty/candy,Consumer non-durables,United States,Darling Ingredients Inc.
DAVA,,Information technology services,Technology services,United Kingdom,Endava Plc Sponsored ADR Class A
DAY,"S&P 500, S&P 500 Industrials, Russell 3000, Russell 1000, S&P 500 ESG",Packaged software,Technology services,United States,"Dayforce, Inc."
DBD,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Electronic equipment/Instruments,Electronic technology,United States,Diebold Nixdorf Incorporated
DBI,"Russell 2000, Russell 3000, Mini-Russell 2000",Apparel/Footwear retail,Retail trade,United States,Designer Brands Inc.
DBL,,Investment trusts/Mutual funds,Miscellaneous,United States,Doubleline Opportunistic Credit Fund
DBRG,"Russell 2000, Russell 3000, Mini-Russell 2000",Investment managers,Finance,United States,"DigitalBridge Group, Inc. Class A"
DCI,"S&P MidCap 400, Russell 3000, Russell 1000",Auto parts: OEM,Producer manufacturing,United States,"Donaldson Company, Inc."
DCO,"Russell 2000, Russell 3000, Mini-Russell 2000",Aerospace & defense,Electronic technology,United States,Ducommun Incorporated
DD,"S&P 500, S&P 500 Materials, Russell 3000, Russell 1000, NYSE Arca Major Market",Chemicals: major diversified,Process industries,United States,"DuPont de Nemours, Inc."
DDD,"Russell 2000, Russell 3000, Mini-Russell 2000",Information technology services,Technology services,United States,3D Systems Corporation
DDL,NASDAQ Golden Dragon China,Food retail,Retail trade,China,Dingdong (Cayman) Ltd. Sponsored ADR Class A
DDS,"Russell 3000, Russell 1000",Department stores,Retail trade,United States,"Dillard's, Inc."
DDT,,Finance/Rental/Leasing,Finance,United States,Dillard's Capital Trust I
DE,"S&P 500, S&P 500 Industrials, S&P 100, Russell 3000, Russell 1000, S&P 500 ESG",Trucks/Construction/Farm machinery,Producer manufacturing,United States,Deere & Company
DEA,"Russell 2000, Russell 3000, Mini-Russell 2000",Real estate investment trusts,Finance,United States,Easterly Government Properties Inc
DECK,"S&P 500, S&P 500 Consumer Discretionary, Nasdaq US Mid Cap Growth, Russell 3000, Russell 1000, S&P 500 ESG",Apparel/Footwear,Consumer non-durables,United States,Deckers Outdoor Corporation
DEI,"Russell 2000, Russell 3000, Mini-Russell 2000",Real estate investment trusts,Finance,United States,"Douglas Emmett, Inc"
DELL,"S&P 500, S&P 500 Information Technology, ISE CTA Cloud Computing, Russell 3000, Russell 1000, S&P 500 ESG, NASDAQ CB Insights Metaverse US Index",Computer processing hardware,Electronic technology,United States,Dell Technologies Inc.
DFH,"Russell 2000, Russell 3000, Mini-Russell 2000",Homebuilding,Consumer durables,United States,"Dream Finders Homes, Inc."
DFIN,"Russell 2000, Russell 3000, Mini-Russell 2000",Packaged software,Technology services,United States,"Donnelley Financial Solutions, Inc."
DFP,,Investment trusts/Mutual funds,Miscellaneous,United States,"Flaherty & Crumrine Dynamic Preferred & Income Fund, Inc."
DG,"S&P 500, S&P 500 Consumer Staples, Russell 3000, Russell 1000",Discount stores,Retail trade,United States,Dollar General Corporation
DGX,"S&P 500, S&P 500 Health Care, Russell 3000, Russell 1000, S&P 500 ESG",Services to the health industry,Health services,United States,Quest Diagnostics Incorporated
DHF,,Investment trusts/Mutual funds,Miscellaneous,United States,BNY Mellon High Yield Strategies Fund of Benef Interest
DHI,"S&P 500, S&P 500 Consumer Discretionary, Russell 3000, PHLX Housing Sector, Russell 1000, S&P 500 ESG",Homebuilding,Consumer durables,United States,"D.R. Horton, Inc."
DHR,"S&P 500, S&P 500 Health Care, S&P 100, Russell 3000, Russell 1000, S&P 500 ESG",Medical specialties,Health technology,United States,Danaher Corporation
DHT,"Russell 2000, Russell 3000, Mini-Russell 2000",Marine shipping,Transportation,Bermuda,"DHT Holdings, Inc."
DHX,,Personnel services,Commercial services,United States,"DHI Group, Inc."
DIAX,,Investment trusts/Mutual funds,Miscellaneous,United States,Nuveen Dow 30 Dynamic Overwrite Fund
DIN,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Restaurants,Consumer services,United States,"Dine Brands Global, Inc. Common Stock"
DINO,"S&P MidCap 400, Russell 3000, Russell 1000",Oil refining/Marketing,Energy minerals,United States,HF Sinclair Corporation
DIS,"S&P 500, Dow Jones Industrial Average, S&P 500 Communication Services, S&P 100, Nasdaq US Large Cap Growth, Russell 3000, Dow Jones Composite Average, Russell 1000, S&P 500 ESG, NYSE Arca Major Market, NASDAQ CB Insights Metaverse US Index",Movies/Entertainment,Consumer services,United States,Walt Disney Company (The)
DK,"Russell 2000, Russell 3000, Mini-Russell 2000",Oil refining/Marketing,Energy minerals,United States,"Delek US Holdings, Inc."
DKL,,Oil & gas pipelines,Industrial services,United States,"Delek Logistics Partners, L.P."
DKS,"S&P MidCap 400, Russell 3000, Russell 1000",Specialty stores,Retail trade,United States,Dick's Sporting Goods Inc
DLB,"S&P MidCap 400, Nasdaq US Small Cap Growth, Russell 3000, Russell 1000",Packaged software,Technology services,United States,Dolby Laboratories
DLNG,,Marine shipping,Transportation,Greece,Dynagas LNG Partners LP
DLR,"S&P 500, S&P 500 Real Estate, Nasdaq US Large Cap Growth, Russell 3000, Russell 1000, S&P 500 ESG",Real estate investment trusts,Finance,United States,"Digital Realty Trust, Inc."
DLX,"Russell 2000, Russell 3000, Mini-Russell 2000",Commercial printing/Forms,Commercial services,United States,Deluxe Corporation
DLY,,Investment trusts/Mutual funds,Miscellaneous,United States,DoubleLine Yield Opportunities Fund
DMA,,Investment trusts/Mutual funds,Miscellaneous,United States,Destra Multi-Alternative Fund
DMB,,Investment trusts/Mutual funds,Miscellaneous,United States,"BNY Mellon Municipal Bond Infrastructure Fund, Inc."
DMO,,Investment trusts/Mutual funds,Miscellaneous,United States,Western Asset Mortgage Opportunity Fund Inc
DNA,"Russell 2000, Nasdaq US Small Cap Growth, Mini-Russell 2000",Medical/Nursing services,Health services,United States,"Ginkgo Bioworks Holdings, Inc."
DNOW,"Russell 2000, Russell 3000, Mini-Russell 2000",Wholesale distributors,Distribution services,United States,DNOW Inc.
DNP,,Investment trusts/Mutual funds,Miscellaneous,United States,DNP Select Income Fund Inc
DOC,"S&P 500, S&P 500 Real Estate, Russell 3000, Russell 1000, S&P 500 ESG",Real estate investment trusts,Finance,United States,"Healthpeak Properties, Inc."
DOCN,"Russell 2000, ISE CTA Cloud Computing, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Packaged software,Technology services,United States,"DigitalOcean Holdings, Inc."
DOCS,"S&P MidCap 400, Nasdaq US Mid Cap Growth, Russell 3000, Russell 1000",Packaged software,Technology services,United States,"Doximity, Inc."
DOLE,"Russell 2000, Russell 3000, Mini-Russell 2000",Food distributors,Distribution services,Ireland,Dole plc
DOUG,"Russell 2000, Mini-Russell 2000",Real estate development,Finance,United States,Douglas Elliman Inc.
DOV,"S&P 500, S&P 500 Industrials, Russell 3000, Russell 1000, S&P 500 ESG",Industrial machinery,Producer manufacturing,United States,Dover Corporation
DOW,"S&P 500, S&P 500 Materials, Russell 3000, Russell 1000, S&P 500 ESG, NYSE Arca Major Market",Chemicals: specialty,Process industries,United States,Dow Inc.
DPG,,Investment trusts/Mutual funds,Miscellaneous,United States,Duff & Phelps Utility and Infrastructure Fund Inc
DQ,NASDAQ Golden Dragon China,Chemicals: specialty,Process industries,China,Daqo New Energy Corp Sponsored ADR
DRH,"Russell 2000, Russell 3000, Mini-Russell 2000",Real estate investment trusts,Finance,United States,DiamondRock Hospitality Company
DRI,"S&P 500, S&P 500 Consumer Discretionary, Nasdaq US Mid Cap Growth, Russell 3000, Russell 1000, S&P 500 ESG",Restaurants,Consumer services,United States,"Darden Restaurants, Inc."
DSL,,Investment trusts/Mutual funds,Miscellaneous,United States,DoubleLine Income Solutions Fund
DSM,,Investment trusts/Mutual funds,Miscellaneous,United States,"BNY Mellon Strategic Municipal Bond Fund, Inc."
DSU,,Investment trusts/Mutual funds,Miscellaneous,United States,Blackrock Debt Strategies Fund Inc
DSX,,Marine shipping,Transportation,Greece,Diana Shipping inc.
DT,"S&P MidCap 400, Nasdaq US Mid Cap Growth, Russell 3000, Russell 1000",Packaged software,Technology services,United States,"Dynatrace, Inc."
DTE,"S&P 500, S&P 500 Utilities, Russell 3000, Russell 1000, PHLX Utilities Sector",Electric utilities,Utilities,United States,DTE Energy Company
DTF,,Investment trusts/Mutual funds,Miscellaneous,United States,DTF Tax-Free Income 2028 Term Fund Inc.
DTM,"S&P MidCap 400, Nasdaq US Mid Cap Growth, Russell 3000, Russell 1000",Oil & gas pipelines,Industrial services,United States,"DT Midstream, Inc."
DUK,"S&P 500, S&P 500 Utilities, S&P 100, Russell 3000, Dow Jones Utility Average, Dow Jones Composite Average, Russell 1000, PHLX Utilities Sector",Electric utilities,Utilities,United States,Duke Energy Corporation (Holding Company)
DV,"Nasdaq US Small Cap Growth, Russell 3000, Russell 1000",Packaged software,Technology services,United States,"DoubleVerify Holdings, Inc."
DVA,"S&P 500, S&P 500 Health Care, Nasdaq US Mid Cap Growth, Russell 3000, Russell 1000, S&P 500 ESG",Medical/Nursing services,Health services,United States,DaVita Inc.
DVN,"S&P 500, S&P 500 Energy, Russell 3000, Russell 1000, S&P 500 ESG",Integrated oil,Energy minerals,United States,Devon Energy Corporation
DX,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Real estate investment trusts,Finance,United States,"Dynex Capital, Inc."
DXC,"Russell 3000, Russell 1000",Data processing services,Technology services,United States,DXC Technology Company
DXYZ,,Investment trusts/Mutual funds,Miscellaneous,United States,Destiny Tech100 Inc
DY,"Russell 2000, Nasdaq US Mid Cap Growth, Russell 3000, Mini-Russell 2000",Engineering & construction,Industrial services,United States,"Dycom Industries, Inc."
EAF,Nasdaq US Small Cap Growth,Electrical products,Producer manufacturing,United States,GrafTech International Ltd.
EAI,,Electric utilities,Utilities,United States,"Entergy Arkansas, LLC First Mortgage Bonds, 4.875% Series Due September 1, 2066"
EAT,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Restaurants,Consumer services,United States,"Brinker International, Inc."
EB,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Packaged software,Technology services,United States,"Eventbrite, Inc."
EBF,"Russell 2000, Russell 3000, Mini-Russell 2000",Commercial printing/Forms,Commercial services,United States,"Ennis, Inc."
EBS,"Russell 2000, Mini-Russell 2000",Pharmaceuticals: major,Health technology,United States,Emergent BioSolutions Inc.
ECAT,,Investment trusts/Mutual funds,Miscellaneous,United States,BlackRock ESG Capital Allocation Term Trust
ECC,,Investment trusts/Mutual funds,Miscellaneous,United States,"Eagle Point Credit Co., Inc."
ECG,"Nasdaq US Small Cap Growth, Russell 3000, Russell 1000",Engineering & construction,Industrial services,United States,"Everus Construction Group, Inc."
ECL,"S&P 500, S&P 500 Materials, Nasdaq US Large Cap Growth, Russell 3000, Russell 1000, S&P 500 ESG",Chemicals: specialty,Process industries,United States,Ecolab Inc.
ECO,,Marine shipping,Transportation,Greece,Okeanis Eco Tankers Corp.
ECVT,"Russell 2000, Russell 3000, Mini-Russell 2000",Chemicals: specialty,Process industries,United States,Ecovyst Inc.
ED,"S&P 500, S&P 500 Utilities, Russell 3000, Dow Jones Utility Average, Dow Jones Composite Average, Russell 1000, S&P 500 ESG, PHLX Utilities Sector",Electric utilities,Utilities,United States,"Consolidated Edison, Inc."
EDD,,Investment trusts/Mutual funds,Miscellaneous,United States,Morgan Stanley Emerging Markets Domestic Debt Fund Inc
