Symbol,Index,Industry,Sector,Country or region of registration,Description
RLX,NASDAQ Golden Dragon China,Industrial conglomerates,Producer manufacturing,China,"RLX Technology, Inc. Sponsored ADR Class A"
RM,"Russell 2000, Russell 3000, Mini-Russell 2000",Finance/Rental/Leasing,Finance,United States,Regional Management Corp.
RMAX,"Russell 2000, Russell 3000, Mini-Russell 2000",Real estate development,Finance,United States,"RE/MAX Holdings, Inc."
RMD,"S&P 500, S&P 500 Health Care, Nasdaq US Large Cap Growth, Russell 3000, Russell 1000, S&P 500 ESG",Medical specialties,Health technology,United States,ResMed Inc.
RMI,,Financial conglomerates,Finance,United States,"RiverNorth Opportunistic Municipal Income Fund, Inc."
RMM,,Investment trusts/Mutual funds,Miscellaneous,United States,RiverNorth Managed Duration Municipal Income Fund Inc
RMMZ,,Investment trusts/Mutual funds,Miscellaneous,United States,RiverNorth Managed Duration Municipal Income Fund II Inc Registered
RMT,,Investment trusts/Mutual funds,Miscellaneous,United States,Royce Micro-Cap Trust Inc
RNG,"ISE CTA Cloud Computing, Nasdaq US Small Cap Growth, Russell 3000, Russell 1000",Packaged software,Technology services,United States,"RingCentral, Inc."
RNGR,"Russell 2000, Mini-Russell 2000",Oilfield services/Equipment,Industrial services,United States,"Ranger Energy Services, Inc."
RNP,,Investment trusts/Mutual funds,Miscellaneous,United States,Cohen & Steers REIT and Preferred and Income Fund Inc
RNR,"S&P MidCap 400, Russell 3000, Russell 1000",Property/Casualty insurance,Finance,Bermuda,RenaissanceRe Holdings Ltd.
RNST,"Russell 2000, Russell 3000, Mini-Russell 2000",Regional banks,Finance,United States,Renasant Corporation
ROG,"Russell 2000, Russell 3000, Mini-Russell 2000",Chemicals: specialty,Process industries,United States,Rogers Corporation
ROK,"S&P 500, S&P 500 Industrials, Nasdaq US Large Cap Growth, Russell 3000, Russell 1000, S&P 500 ESG",Electrical products,Producer manufacturing,United States,"Rockwell Automation, Inc."
ROL,"S&P 500, S&P 500 Industrials, Nasdaq US Mid Cap Growth, Russell 3000, Russell 1000",Miscellaneous commercial services,Commercial services,United States,"Rollins, Inc."
RPM,"S&P MidCap 400, Russell 3000, Russell 1000",Industrial specialties,Process industries,United States,RPM International Inc.
RPT,"Russell 2000, Mini-Russell 2000",Real estate investment trusts,Finance,United States,Rithm Property Trust Inc
RQI,,Investment trusts/Mutual funds,Miscellaneous,United States,Cohen & Steers Quality Income Realty Fund Inc Quality Income Realty Fund
RRC,"S&P MidCap 400, Russell 3000, Russell 1000",Oil & gas production,Energy minerals,United States,Range Resources Corporation
RRX,"S&P MidCap 400, Russell 3000, Russell 1000",Electrical products,Producer manufacturing,United States,Regal Rexnord Corporation
RS,"S&P MidCap 400, Russell 3000, Russell 1000",Steel,Non-energy minerals,United States,"Reliance, Inc."
RSG,"S&P 500, S&P 500 Industrials, Nasdaq US Large Cap Growth, Russell 3000, Russell 1000, S&P 500 ESG",Environmental services,Industrial services,United States,"Republic Services, Inc."
RSI,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Casinos/Gaming,Consumer services,United States,"Rush Street Interactive, Inc."
RSKD,,Packaged software,Technology services,Israel,Riskified Ltd.
RTX,"S&P 500, S&P 500 Industrials, S&P 100, Russell 3000, Russell 1000",Aerospace & defense,Electronic technology,United States,RTX Corporation
RVLV,"Russell 2000, Russell 3000, Mini-Russell 2000",Internet retail,Retail trade,United States,"Revolve Group, Inc."
RVT,,Investment trusts/Mutual funds,Miscellaneous,United States,Royce Small-Cap Trust Inc
RVTY,"S&P 500, S&P 500 Health Care, Russell 3000, Russell 1000, S&P 500 ESG",Medical specialties,Health technology,United States,"Revvity, Inc."
RWT,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Real estate investment trusts,Finance,United States,"Redwood Trust, Inc."
RXO,"Russell 2000, Russell 3000, Mini-Russell 2000",Packaged software,Technology services,United States,"RXO, Inc."
RYAM,"Russell 2000, Russell 3000, Mini-Russell 2000",Chemicals: specialty,Process industries,United States,Rayonier Advanced Materials Inc.
RYAN,"S&P MidCap 400, Russell 3000, Russell 1000",Insurance brokers/Services,Finance,United States,"Ryan Specialty Holdings, Inc."
RYI,"Russell 2000, Russell 3000, Mini-Russell 2000",Steel,Non-energy minerals,United States,Ryerson Holding Corporation
RYN,"S&P MidCap 400, Nasdaq US Small Cap Growth, Russell 3000, Russell 1000",Real estate investment trusts,Finance,United States,Rayonier Inc.
S,"Nasdaq US Small Cap Growth, Russell 3000, Russell 1000",Packaged software,Technology services,United States,"SentinelOne, Inc."
SABA,,Investment trusts/Mutual funds,Miscellaneous,United States,Saba Capital Income & Opportunities Fund II
SAFE,"Russell 2000, Russell 3000, Mini-Russell 2000",Real estate investment trusts,Finance,United States,Safehold Inc.
SAH,"Russell 2000, Russell 3000, Mini-Russell 2000",Specialty stores,Retail trade,United States,"Sonic Automotive, Inc."
SAM,"S&P MidCap 400, Russell 3000, Russell 1000",Beverages: alcoholic,Consumer non-durables,United States,"Boston Beer Company, Inc. (The)"
SAR,,Investment trusts/Mutual funds,Miscellaneous,United States,Saratoga Investment Corp.
SARO,"Nasdaq US Mid Cap Growth, Russell 3000, Russell 1000",Other transportation,Transportation,United States,"StandardAero, Inc."
SB,"Russell 2000, Russell 3000, Mini-Russell 2000",Marine shipping,Transportation,Monaco,"Safe Bulkers, Inc"
SBDS,,Wholesale distributors,Distribution services,United States,"Solo Brands, Inc."
SBH,"Russell 2000, Russell 3000, Mini-Russell 2000",Specialty stores,Retail trade,United States,"Sally Beauty Holdings, Inc. (Name to be changed from Sally Holdings, Inc.)"
SBI,,Investment trusts/Mutual funds,Miscellaneous,United States,Western Asset Intermediate Muni Fund Inc
SBR,,Investment trusts/Mutual funds,Miscellaneous,United States,Sabine Royalty Trust
